cell_idx,replicate,condition,image_name,local_label_id,local_cell_index,microscope,magnification_x,pixel_size_um_per_px,scale_factor,norm_mem_lo,norm_mem_hi,norm_nuc_lo,norm_nuc_hi
31,ID18,CTRL,10X-CTRL-Foto1,39,31,EVOS,10,0.883002,1.968653,0.0,2002.0,399.4800109863281,1936.260009765625
32,ID18,CTRL,10X-CTRL-Foto1,40,32,EVOS,10,0.883002,1.968653,1162.0,2514.1796875,396.0,2155.0400390625
33,ID18,CTRL,10X-CTRL-Foto1,41,33,EVOS,10,0.883002,1.968653,0.0,4095.0,516.6599731445312,3191.33984375
34,ID18,CTRL,10X-CTRL-Foto1,42,34,EVOS,10,0.883002,1.968653,0.0,4095.0,593.0,3603.23828125
35,ID18,CTRL,10X-CTRL-Foto1,46,35,EVOS,10,0.883002,1.968653,1056.0,1887.65234375,397.0,2214.73974609375
36,ID18,CTRL,10X-CTRL-Foto1,49,36,EVOS,10,0.883002,1.968653,0.0,4095.0,287.1099853515625,2400.0
37,ID18,CTRL,10X-CTRL-Foto1,50,37,EVOS,10,0.883002,1.968653,0.0,4095.0,602.8300170898438,3975.020263671875
38,ID18,CTRL,10X-CTRL-Foto1,51,38,EVOS,10,0.883002,1.968653,0.0,2031.5517578125,384.1199951171875,2195.0
39,ID18,CTRL,10X-CTRL-Foto1,53,39,EVOS,10,0.883002,1.968653,0.0,1958.701171875,394.0,2162.080078125
40,ID18,CTRL,10X-CTRL-Foto1,54,40,EVOS,10,0.883002,1.968653,931.0,1563.21875,343.1700134277344,2167.0
41,ID18,CTRL,10X-CTRL-Foto1,55,41,EVOS,10,0.883002,1.968653,0.0,1815.919921875,427.0,2528.550048828125
42,ID18,CTRL,10X-CTRL-Foto1,56,42,EVOS,10,0.883002,1.968653,0.0,4095.0,290.45001220703125,2584.0
43,ID18,CTRL,10X-CTRL-Foto1,57,43,EVOS,10,0.883002,1.968653,0.0,1811.08984375,437.5400085449219,2670.0
44,ID18,CTRL,10X-CTRL-Foto1,58,44,EVOS,10,0.883002,1.968653,0.0,4095.0,288.760009765625,4051.201171875
45,ID18,CTRL,10X-CTRL-Foto1,59,45,EVOS,10,0.883002,1.968653,0.0,1632.990234375,387.0299987792969,1788.659912109375
46,ID18,CTRL,10X-CTRL-Foto1,60,46,EVOS,10,0.883002,1.968653,0.0,4085.0,340.5,3487.5
47,ID18,CTRL,10X-CTRL-Foto1,61,47,EVOS,10,0.883002,1.968653,0.0,2188.1171875,433.239990234375,2890.8798828125
48,ID18,CTRL,10X-CTRL-Foto1,62,48,EVOS,10,0.883002,1.968653,0.0,3764.69921875,410.5799865722656,2982.0
49,ID18,CTRL,10X-CTRL-Foto1,63,49,EVOS,10,0.883002,1.968653,0.0,1657.4609375,432.760009765625,2533.23974609375
50,ID18,CTRL,10X-CTRL-Foto1,64,50,EVOS,10,0.883002,1.968653,0.0,1985.94921875,342.0,1972.0
51,ID18,CTRL,10X-CTRL-Foto1,65,51,EVOS,10,0.883002,1.968653,0.0,2376.5,493.1400146484375,3451.10009765625
52,ID18,CTRL,10X-CTRL-Foto1,66,52,EVOS,10,0.883002,1.968653,1108.27001953125,1752.0,379.42999267578125,2619.560546875
53,ID18,CTRL,10X-CTRL-Foto1,68,53,EVOS,10,0.883002,1.968653,0.0,1966.0,360.0,2423.0
54,ID18,CTRL,10X-CTRL-Foto1,69,54,EVOS,10,0.883002,1.968653,0.0,2816.679931640625,0.0,2599.0
55,ID18,CTRL,10X-CTRL-Foto1,70,55,EVOS,10,0.883002,1.968653,0.0,1933.400390625,431.0,2811.7001953125
56,ID18,CTRL,10X-CTRL-Foto1,71,56,EVOS,10,0.883002,1.968653,0.0,3790.0,351.0,2641.60009765625
57,ID18,CTRL,10X-CTRL-Foto1,72,57,EVOS,10,0.883002,1.968653,0.0,4095.0,578.469970703125,4095.0
58,ID18,CTRL,10X-CTRL-Foto1,73,58,EVOS,10,0.883002,1.968653,0.0,4095.0,407.0799865722656,1945.9599609375
59,ID18,CTRL,10X-CTRL-Foto1,74,59,EVOS,10,0.883002,1.968653,0.0,2022.22998046875,483.8299865722656,3057.31005859375
60,ID18,CTRL,10X-CTRL-Foto1,75,60,EVOS,10,0.883002,1.968653,0.0,1786.0,331.75,2045.0
61,ID18,CTRL,10X-CTRL-Foto1,76,61,EVOS,10,0.883002,1.968653,0.0,4095.0,523.4299926757812,2951.8701171875
62,ID18,CTRL,10X-CTRL-Foto1,77,62,EVOS,10,0.883002,1.968653,0.0,4095.0,454.70001220703125,2382.14990234375
63,ID18,CTRL,10X-CTRL-Foto1,78,63,EVOS,10,0.883002,1.968653,0.0,4095.0,440.0,4080.340087890625
64,ID18,CTRL,10X-CTRL-Foto1,79,64,EVOS,10,0.883002,1.968653,0.0,4095.0,287.6099853515625,2238.17041015625
65,ID18,CTRL,10X-CTRL-Foto1,80,65,EVOS,10,0.883002,1.968653,0.0,1957.26953125,396.0,2083.60009765625
66,ID18,CTRL,10X-CTRL-Foto1,81,66,EVOS,10,0.883002,1.968653,1093.0,4095.0,563.4600219726562,3679.5810546875
67,ID18,CTRL,10X-CTRL-Foto1,82,67,EVOS,10,0.883002,1.968653,0.0,2282.603515625,405.1199951171875,2281.31982421875
68,ID18,CTRL,10X-CTRL-Foto1,83,68,EVOS,10,0.883002,1.968653,0.0,4095.0,396.05999755859375,2542.409912109375
69,ID18,CTRL,10X-CTRL-Foto1,84,69,EVOS,10,0.883002,1.968653,0.0,4095.0,589.0599975585938,3716.45947265625
70,ID18,CTRL,10X-CTRL-Foto2,1,0,EVOS,10,0.883002,1.968653,0.0,2157.2421875,411.94000244140625,2199.0
71,ID18,CTRL,10X-CTRL-Foto2,2,1,EVOS,10,0.883002,1.968653,0.0,2863.52001953125,391.0,2448.1201171875
72,ID18,CTRL,10X-CTRL-Foto2,3,2,EVOS,10,0.883002,1.968653,0.0,2058.779296875,422.57000732421875,2252.81005859375
73,ID18,CTRL,10X-CTRL-Foto2,4,3,EVOS,10,0.883002,1.968653,0.0,1994.0,447.0,2956.3095703125
74,ID18,CTRL,10X-CTRL-Foto2,5,4,EVOS,10,0.883002,1.968653,0.0,2001.720703125,452.0,2707.6298828125
75,ID18,CTRL,10X-CTRL-Foto2,6,5,EVOS,10,0.883002,1.968653,0.0,4018.240234375,410.2099914550781,3008.580078125
76,ID18,CTRL,10X-CTRL-Foto2,7,6,EVOS,10,0.883002,1.968653,0.0,4095.0,485.1000061035156,2677.0
77,ID18,CTRL,10X-CTRL-Foto2,8,7,EVOS,10,0.883002,1.968653,0.0,1961.8017578125,448.0,3010.340087890625
78,ID18,CTRL,10X-CTRL-Foto2,9,8,EVOS,10,0.883002,1.968653,0.0,4095.0,472.32000732421875,4095.0
79,ID18,CTRL,10X-CTRL-Foto2,11,9,EVOS,10,0.883002,1.968653,0.0,2188.51953125,392.9800109863281,2148.02001953125
80,ID18,CTRL,10X-CTRL-Foto2,12,10,EVOS,10,0.883002,1.968653,0.0,3140.599609375,443.8999938964844,2425.500244140625
81,ID18,CTRL,10X-CTRL-Foto2,13,11,EVOS,10,0.883002,1.968653,0.0,1833.0,592.1500244140625,4095.0
82,ID18,CTRL,10X-CTRL-Foto2,14,12,EVOS,10,0.883002,1.968653,0.0,2007.0,412.3599853515625,2323.47998046875
83,ID18,CTRL,10X-CTRL-Foto2,15,13,EVOS,10,0.883002,1.968653,0.0,4095.0,431.0,3216.47998046875
84,ID18,CTRL,10X-CTRL-Foto2,16,14,EVOS,10,0.883002,1.968653,0.0,4095.0,397.54998779296875,2121.449951171875
85,ID18,CTRL,10X-CTRL-Foto2,17,15,EVOS,10,0.883002,1.968653,0.0,2368.9404296875,407.0799865722656,3941.599609375
86,ID18,CTRL,10X-CTRL-Foto2,19,16,EVOS,10,0.883002,1.968653,0.0,2660.30078125,456.0,3351.08984375
87,ID18,CTRL,10X-CTRL-Foto2,20,17,EVOS,10,0.883002,1.968653,0.0,1859.6298828125,492.760009765625,2980.0
88,ID18,CTRL,10X-CTRL-Foto2,21,18,EVOS,10,0.883002,1.968653,0.0,4095.0,488.7699890136719,2668.0
89,ID18,CTRL,10X-CTRL-Foto2,22,19,EVOS,10,0.883002,1.968653,0.0,2108.8896484375,419.17999267578125,2961.0
90,ID18,CTRL,10X-CTRL-Foto2,23,20,EVOS,10,0.883002,1.968653,0.0,4095.0,489.0,2437.39990234375
91,ID18,CTRL,10X-CTRL-Foto2,24,21,EVOS,10,0.883002,1.968653,0.0,1910.0,438.0199890136719,2899.0
92,ID18,CTRL,10X-CTRL-Foto2,25,22,EVOS,10,0.883002,1.968653,0.0,1797.0712890625,430.239990234375,2766.14013671875
93,ID18,CTRL,10X-CTRL-Foto2,27,23,EVOS,10,0.883002,1.968653,1097.739990234375,1780.0,450.7300109863281,2485.5400390625
94,ID18,CTRL,10X-CTRL-Foto2,28,24,EVOS,10,0.883002,1.968653,1131.0,1951.0,407.9599914550781,1991.0
95,ID18,CTRL,10X-CTRL-Foto2,29,25,EVOS,10,0.883002,1.968653,0.0,4095.0,499.29998779296875,4084.0
96,ID18,CTRL,10X-CTRL-Foto2,30,26,EVOS,10,0.883002,1.968653,0.0,4095.0,381.79998779296875,2178.2001953125
97,ID18,CTRL,10X-CTRL-Foto2,31,27,EVOS,10,0.883002,1.968653,0.0,1750.0,419.8599853515625,2078.0
98,ID18,CTRL,10X-CTRL-Foto2,32,28,EVOS,10,0.883002,1.968653,0.0,4095.0,479.79998779296875,2931.0
99,ID18,CTRL,10X-CTRL-Foto2,33,29,EVOS,10,0.883002,1.968653,0.0,4040.0,422.95001220703125,2597.0
100,ID18,CTRL,10X-CTRL-Foto2,34,30,EVOS,10,0.883002,1.968653,0.0,2276.51953125,372.010009765625,2379.330078125
101,ID18,CTRL,10X-CTRL-Foto2,36,31,EVOS,10,0.883002,1.968653,0.0,2094.640625,312.3699951171875,3976.6796875
102,ID18,CTRL,10X-CTRL-Foto2,37,32,EVOS,10,0.883002,1.968653,0.0,1603.6689453125,403.1999816894531,2507.0
103,ID18,CTRL,10X-CTRL-Foto2,38,33,EVOS,10,0.883002,1.968653,0.0,1845.0703125,480.0,3694.5
104,ID18,CTRL,10X-CTRL-Foto2,39,34,EVOS,10,0.883002,1.968653,0.0,2689.1494140625,0.0,3003.080078125
105,ID18,CTRL,10X-CTRL-Foto2,41,35,EVOS,10,0.883002,1.968653,0.0,2237.0703125,388.1000061035156,2430.18017578125
106,ID18,CTRL,10X-CTRL-Foto2,42,36,EVOS,10,0.883002,1.968653,0.0,1722.919921875,417.5,3025.0
107,ID18,CTRL,10X-CTRL-Foto2,44,37,EVOS,10,0.883002,1.968653,0.0,2293.759765625,424.6199951171875,2637.89990234375
108,ID18,CTRL,10X-CTRL-Foto2,45,38,EVOS,10,0.883002,1.968653,0.0,3048.880859375,352.69000244140625,1798.77001953125
109,ID18,CTRL,10X-CTRL-Foto2,46,39,EVOS,10,0.883002,1.968653,0.0,3278.400390625,422.70001220703125,2139.2001953125
110,ID18,CTRL,10X-CTRL-Foto2,47,40,EVOS,10,0.883002,1.968653,1035.0,1800.0,471.32000732421875,3293.169921875
111,ID18,CTRL,10X-CTRL-Foto2,48,41,EVOS,10,0.883002,1.968653,1096.530029296875,4095.0,371.67999267578125,2036.320068359375
112,ID18,CTRL,10X-CTRL-Foto2,49,42,EVOS,10,0.883002,1.968653,0.0,2053.0,337.70001220703125,3152.20068359375
113,ID18,CTRL,10X-CTRL-Foto2,50,43,EVOS,10,0.883002,1.968653,0.0,1810.140625,466.70001220703125,3451.719970703125
114,ID18,CTRL,10X-CTRL-Foto2,51,44,EVOS,10,0.883002,1.968653,0.0,2199.0,426.0,2645.0400390625
115,ID18,CTRL,10X-CTRL-Foto2,52,45,EVOS,10,0.883002,1.968653,0.0,4095.0,459.4599914550781,2673.77001953125
116,ID18,CTRL,10X-CTRL-Foto2,53,46,EVOS,10,0.883002,1.968653,0.0,2111.419921875,545.719970703125,3024.0
117,ID18,CTRL,10X-CTRL-Foto2,54,47,EVOS,10,0.883002,1.968653,0.0,2055.6201171875,483.1000061035156,3614.800048828125
118,ID18,CTRL,10X-CTRL-Foto2,55,48,EVOS,10,0.883002,1.968653,0.0,2645.59375,375.0,2128.69970703125
119,ID18,CTRL,10X-CTRL-Foto2,56,49,EVOS,10,0.883002,1.968653,0.0,1872.291015625,371.2699890136719,1775.64990234375
120,ID18,CTRL,10X-CTRL-Foto2,57,50,EVOS,10,0.883002,1.968653,0.0,1855.1201171875,408.42999267578125,2839.0
121,ID18,CTRL,10X-CTRL-Foto2,58,51,EVOS,10,0.883002,1.968653,0.0,1751.75,470.0,2706.679931640625
122,ID18,CTRL,10X-CTRL-Foto2,59,52,EVOS,10,0.883002,1.968653,0.0,2138.4931640625,398.44000244140625,2960.56005859375
123,ID18,CTRL,10X-CTRL-Foto2,60,53,EVOS,10,0.883002,1.968653,0.0,2048.0,421.0199890136719,2960.449951171875
124,ID18,CTRL,10X-CTRL-Foto2,61,54,EVOS,10,0.883002,1.968653,0.0,1852.08984375,418.260009765625,2252.9599609375
125,ID18,CTRL,10X-CTRL-Foto2,62,55,EVOS,10,0.883002,1.968653,0.0,2068.0,363.7200012207031,2087.56005859375
126,ID18,CTRL,10X-CTRL-Foto2,63,56,EVOS,10,0.883002,1.968653,1032.0,4095.0,350.0,3177.00146484375
127,ID18,CTRL,10X-CTRL-Foto2,64,57,EVOS,10,0.883002,1.968653,0.0,2854.94970703125,404.0,3465.81005859375
128,ID18,CTRL,10X-CTRL-Foto2,65,58,EVOS,10,0.883002,1.968653,0.0,1663.439453125,369.1600036621094,2260.0
129,ID18,CTRL,10X-CTRL-Foto2,66,59,EVOS,10,0.883002,1.968653,0.0,1933.9609375,359.95001220703125,2104.050048828125
130,ID18,CTRL,10X-CTRL-Foto2,67,60,EVOS,10,0.883002,1.968653,0.0,1931.798828125,305.8599853515625,2234.7001953125
131,ID18,CTRL,10X-CTRL-Foto2,69,61,EVOS,10,0.883002,1.968653,0.0,1859.0,318.0,2103.43017578125
132,ID18,CTRL,10X-CTRL-Foto2,70,62,EVOS,10,0.883002,1.968653,0.0,1782.0,362.9599914550781,2790.080078125
133,ID18,CTRL,10X-CTRL-Foto2,71,63,EVOS,10,0.883002,1.968653,0.0,3412.259765625,417.1199951171875,2606.64990234375
134,ID18,CTRL,10X-CTRL-Foto2,72,64,EVOS,10,0.883002,1.968653,0.0,1587.0,282.0199890136719,2367.469970703125
135,ID18,CTRL,10X-CTRL-Foto2,73,65,EVOS,10,0.883002,1.968653,0.0,1877.98046875,369.0,2119.0
136,ID18,CTRL,10X-CTRL-Foto2,74,66,EVOS,10,0.883002,1.968653,0.0,2304.779296875,386.7799987792969,2052.60986328125
137,ID18,CTRL,10X-CTRL-Foto2,75,67,EVOS,10,0.883002,1.968653,0.0,1933.560546875,461.0,2965.10009765625
138,ID18,CTRL,10X-CTRL-Foto2,76,68,EVOS,10,0.883002,1.968653,0.0,1543.0,285.0,1587.0
139,ID18,CTRL,10X-CTRL-Foto2,78,69,EVOS,10,0.883002,1.968653,0.0,4095.0,296.7300109863281,2520.27001953125
140,ID18,CTRL,10X-CTRL-Foto2,79,70,EVOS,10,0.883002,1.968653,0.0,4067.515625,388.9800109863281,2197.0
141,ID18,CTRL,10X-CTRL-Foto2,80,71,EVOS,10,0.883002,1.968653,904.0,1455.26953125,349.91998291015625,1921.10009765625
142,ID18,CTRL,10X-CTRL-Foto2,82,72,EVOS,10,0.883002,1.968653,0.0,4095.0,345.0,1686.179931640625
143,ID18,CTRL,10X-CTRL-Foto2,84,73,EVOS,10,0.883002,1.968653,0.0,2473.2998046875,507.67999267578125,4095.0
144,ID18,CTRL,10X-CTRL-Foto2,86,74,EVOS,10,0.883002,1.968653,0.0,4095.0,406.6499938964844,2910.7001953125
145,ID18,CTRL,10X-CTRL-Foto2,87,75,EVOS,10,0.883002,1.968653,0.0,4095.0,490.3999938964844,3216.60205078125
146,ID18,CTRL,10X-CTRL-Foto2,90,76,EVOS,10,0.883002,1.968653,0.0,2126.720703125,391.32000732421875,2249.360107421875
147,ID18,CTRL,10X-CTRL-Foto2,91,77,EVOS,10,0.883002,1.968653,0.0,3651.51953125,441.0,1913.5
148,ID18,CTRL,10X-CTRL-Foto2,92,78,EVOS,10,0.883002,1.968653,1017.0,4095.0,438.8800048828125,2667.0
149,ID18,CTRL,10X-CTRL-Foto2,93,79,EVOS,10,0.883002,1.968653,0.0,4069.140625,309.4800109863281,2386.83984375
150,ID18,CTRL,10X-CTRL-Foto3,2,0,EVOS,10,0.883002,1.968653,0.0,1656.0,438.0,2435.0
151,ID18,CTRL,10X-CTRL-Foto3,4,1,EVOS,10,0.883002,1.968653,949.0,1770.1484375,292.0,2074.0
152,ID18,CTRL,10X-CTRL-Foto3,6,2,EVOS,10,0.883002,1.968653,0.0,1614.470703125,397.6400146484375,2824.16064453125
153,ID18,CTRL,10X-CTRL-Foto3,7,3,EVOS,10,0.883002,1.968653,0.0,2213.0,611.1699829101562,3905.150390625
154,ID18,CTRL,10X-CTRL-Foto3,9,4,EVOS,10,0.883002,1.968653,0.0,3732.02734375,490.97998046875,2799.2998046875
155,ID18,CTRL,10X-CTRL-Foto3,10,5,EVOS,10,0.883002,1.968653,0.0,1894.0,535.0499877929688,3005.949951171875
156,ID18,CTRL,10X-CTRL-Foto3,12,6,EVOS,10,0.883002,1.968653,0.0,2054.0,492.9599914550781,2642.080078125
157,ID18,CTRL,10X-CTRL-Foto3,13,7,EVOS,10,0.883002,1.968653,1165.699951171875,1991.0,519.0,2667.7001953125
158,ID18,CTRL,10X-CTRL-Foto3,14,8,EVOS,10,0.883002,1.968653,0.0,1762.650390625,386.0,2042.2603759765625
159,ID18,CTRL,10X-CTRL-Foto3,15,9,EVOS,10,0.883002,1.968653,0.0,1915.0,475.9800109863281,2641.510009765625
160,ID18,CTRL,10X-CTRL-Foto3,16,10,EVOS,10,0.883002,1.968653,0.0,1837.0,617.2000122070312,3512.400146484375
161,ID18,CTRL,10X-CTRL-Foto3,17,11,EVOS,10,0.883002,1.968653,1126.919921875,2002.0,529.4600219726562,3171.81005859375
162,ID18,CTRL,10X-CTRL-Foto3,18,12,EVOS,10,0.883002,1.968653,0.0,1838.37109375,473.0400085449219,3484.7197265625
163,ID18,CTRL,10X-CTRL-Foto3,19,13,EVOS,10,0.883002,1.968653,0.0,3715.12109375,410.0,2216.900146484375
164,ID18,CTRL,10X-CTRL-Foto3,20,14,EVOS,10,0.883002,1.968653,0.0,1953.8603515625,523.219970703125,2999.52001953125
165,ID18,CTRL,10X-CTRL-Foto3,23,15,EVOS,10,0.883002,1.968653,0.0,2252.0,457.67999267578125,2399.159912109375
166,ID18,CTRL,10X-CTRL-Foto3,24,16,EVOS,10,0.883002,1.968653,1116.0,1861.919921875,462.67999267578125,2512.64013671875
167,ID18,CTRL,10X-CTRL-Foto3,25,17,EVOS,10,0.883002,1.968653,1110.0,1897.0,402.3999938964844,2450.0
168,ID18,CTRL,10X-CTRL-Foto3,26,18,EVOS,10,0.883002,1.968653,0.0,2065.0,465.3999938964844,2284.400146484375
169,ID18,CTRL,10X-CTRL-Foto3,27,19,EVOS,10,0.883002,1.968653,0.0,4095.0,566.2999877929688,4095.0
170,ID18,CTRL,10X-CTRL-Foto3,29,20,EVOS,10,0.883002,1.968653,0.0,1944.48046875,460.3999938964844,3014.0
171,ID18,CTRL,10X-CTRL-Foto3,30,21,EVOS,10,0.883002,1.968653,0.0,2611.640625,466.9200134277344,2439.080078125
172,ID18,CTRL,10X-CTRL-Foto3,31,22,EVOS,10,0.883002,1.968653,0.0,2282.2509765625,477.55999755859375,2188.0
173,ID18,CTRL,10X-CTRL-Foto3,32,23,EVOS,10,0.883002,1.968653,0.0,2089.5,606.0,3753.0029296875
174,ID18,CTRL,10X-CTRL-Foto3,33,24,EVOS,10,0.883002,1.968653,0.0,2004.0,500.0,3089.460205078125
175,ID18,CTRL,10X-CTRL-Foto3,36,25,EVOS,10,0.883002,1.968653,0.0,1577.0,376.0400085449219,2511.9599609375
176,ID18,CTRL,10X-CTRL-Foto3,39,26,EVOS,10,0.883002,1.968653,0.0,2352.0,517.010009765625,3496.909912109375
177,ID18,CTRL,10X-CTRL-Foto3,40,27,EVOS,10,0.883002,1.968653,0.0,2462.8515625,434.8599853515625,2820.850341796875
178,ID18,CTRL,10X-CTRL-Foto3,41,28,EVOS,10,0.883002,1.968653,0.0,1978.0,326.0,2588.8603515625
179,ID18,CTRL,10X-CTRL-Foto3,44,29,EVOS,10,0.883002,1.968653,1122.2900390625,1887.7109375,430.0,2024.219970703125
180,ID18,CTRL,10X-CTRL-Foto3,45,30,EVOS,10,0.883002,1.968653,0.0,2135.681640625,419.82000732421875,2438.0
181,ID18,CTRL,10X-CTRL-Foto3,46,31,EVOS,10,0.883002,1.968653,0.0,2006.310546875,452.760009765625,2914.0
182,ID18,CTRL,10X-CTRL-Foto3,47,32,EVOS,10,0.883002,1.968653,1112.0,4092.76953125,493.20001220703125,2377.800048828125
183,ID18,CTRL,10X-CTRL-Foto3,49,33,EVOS,10,0.883002,1.968653,1086.0,1844.0,426.0,2712.0
184,ID18,CTRL,10X-CTRL-Foto3,50,34,EVOS,10,0.883002,1.968653,0.0,3749.5302734375,335.0,2759.909912109375
185,ID18,CTRL,10X-CTRL-Foto3,51,35,EVOS,10,0.883002,1.968653,0.0,1826.1201171875,383.0899963378906,2040.820068359375
186,ID18,CTRL,10X-CTRL-Foto3,52,36,EVOS,10,0.883002,1.968653,0.0,2193.3408203125,504.32000732421875,3362.679931640625
187,ID18,CTRL,10X-CTRL-Foto3,54,37,EVOS,10,0.883002,1.968653,0.0,1680.349609375,486.0,3506.240234375
188,ID18,CTRL,10X-CTRL-Foto3,55,38,EVOS,10,0.883002,1.968653,0.0,1740.0,455.7699890136719,2696.22998046875
189,ID18,CTRL,10X-CTRL-Foto3,57,39,EVOS,10,0.883002,1.968653,0.0,4095.0,413.3900146484375,2344.0
190,ID18,CTRL,10X-CTRL-Foto3,58,40,EVOS,10,0.883002,1.968653,0.0,1687.94921875,397.239990234375,2433.760009765625
191,ID18,CTRL,10X-CTRL-Foto3,59,41,EVOS,10,0.883002,1.968653,0.0,1890.12109375,446.95001220703125,3079.14990234375
192,ID18,CTRL,10X-CTRL-Foto3,60,42,EVOS,10,0.883002,1.968653,0.0,1938.80029296875,467.8999938964844,2479.550048828125
193,ID18,CTRL,10X-CTRL-Foto3,62,43,EVOS,10,0.883002,1.968653,0.0,1659.291015625,368.7699890136719,1959.4599609375
194,ID18,CTRL,10X-CTRL-Foto3,63,44,EVOS,10,0.883002,1.968653,0.0,1760.970703125,378.0,3047.3798828125
195,ID18,CTRL,10X-CTRL-Foto3,64,45,EVOS,10,0.883002,1.968653,0.0,2409.0,332.0,1604.56005859375
196,ID18,CTRL,10X-CTRL-Foto3,65,46,EVOS,10,0.883002,1.968653,0.0,1756.0,514.0,3352.47998046875
197,ID18,CTRL,10X-CTRL-Foto3,66,47,EVOS,10,0.883002,1.968653,0.0,4095.0,296.0,4046.8701171875
198,ID18,CTRL,10X-CTRL-Foto3,67,48,EVOS,10,0.883002,1.968653,0.0,1868.0,416.1400146484375,2486.43994140625
